10000;	0,100;	4;	80;	2;	92,1;	153;	-14;	
10000;	0,100;	4;	80;	1,9;	133,8;	221;	63;	
10000;	0,100;	4;	80;	1,8;	173,4;	255;	57;	
10000;	0,100;	4;	80;	1,7;	211,5;	276;	56;	
10000;	0,100;	4;	80;	1,6;	252,8;	292;	55;	
10000;	0,100;	4;	80;	1,5;	292,3;	303;	54;	
10000;	0,100;	4;	80;	1,4;	333,9;	311;	53;	
10000;	0,100;	4;	80;	1,3;	373,7;	316;	53;	
10000;	0,100;	4;	80;	1,2;	414,1;	322;	52;	
10000;	0,100;	4;	80;	1,1;	452,9;	327;	53;	
10000;	0,100;	4;	80;	0,999999999999999;	452,9;	327;	58;	
10000;	0,100;	4;	80;	0,899999999999999;	452,9;	327;	64;	
10000;	0,100;	4;	80;	0,799999999999999;	452,9;	327;	70;	
10000;	0,100;	4;	80;	0,699999999999999;	452,9;	327;	76;	
10000;	0,100;	4;	80;	0,599999999999999;	452,9;	327;	81;	
10000;	0,100;	4;	80;	0,499999999999999;	452,9;	327;	87;	
10000;	0,100;	4;	80;	0,399999999999999;	452,9;	327;	93;	
10000;	0,100;	4;	80;	0,299999999999999;	452,9;	327;	99;	
10000;	0,100;	4;	80;	0,199999999999999;	452,9;	327;	105;	
10000;	0,090;	4;	80;	2;	543,7;	298;	83;	
10000;	0,090;	4;	80;	1,9;	581,4;	303;	81;	
10000;	0,090;	4;	80;	1,8;	618,7;	307;	80;	
10000;	0,090;	4;	80;	1,7;	653,7;	311;	78;	
10000;	0,090;	4;	80;	1,6;	692,3;	314;	77;	
10000;	0,090;	4;	80;	1,5;	729,2;	317;	75;	
10000;	0,090;	4;	80;	1,4;	765,2;	319;	74;	
10000;	0,090;	4;	80;	1,3;	801,0;	321;	74;	
10000;	0,090;	4;	80;	1,2;	836,8;	323;	73;	
10000;	0,090;	4;	80;	1,1;	875,5;	325;	72;	
10000;	0,090;	4;	80;	0,999999999999999;	875,5;	325;	75;	
10000;	0,090;	4;	80;	0,899999999999999;	875,5;	325;	77;	
10000;	0,090;	4;	80;	0,799999999999999;	875,5;	325;	80;	
10000;	0,090;	4;	80;	0,699999999999999;	875,5;	325;	82;	
10000;	0,090;	4;	80;	0,599999999999999;	875,5;	325;	85;	
10000;	0,090;	4;	80;	0,499999999999999;	875,5;	325;	87;	
10000;	0,090;	4;	80;	0,399999999999999;	875,5;	325;	90;	
10000;	0,090;	4;	80;	0,299999999999999;	875,5;	325;	92;	
10000;	0,090;	4;	80;	0,199999999999999;	875,5;	325;	95;	
10000;	0,080;	4;	80;	2;	962,8;	310;	85;	
10000;	0,080;	4;	80;	1,9;	997,2;	312;	84;	
10000;	0,080;	4;	80;	1,8;	1033,2;	315;	83;	
10000;	0,080;	4;	80;	1,7;	1067,2;	316;	82;	
10000;	0,080;	4;	80;	1,6;	1100,2;	318;	82;	
10000;	0,080;	4;	80;	1,5;	1133,7;	320;	81;	
10000;	0,080;	4;	80;	1,4;	1168,3;	321;	80;	
10000;	0,080;	4;	80;	1,3;	1202,1;	323;	80;	
10000;	0,080;	4;	80;	1,2;	1234,3;	324;	79;	
10000;	0,080;	4;	80;	1,1;	1268,7;	325;	79;	
10000;	0,080;	4;	80;	0,999999999999999;	1268,7;	325;	80;	
10000;	0,080;	4;	80;	0,899999999999999;	1268,7;	325;	82;	
10000;	0,080;	4;	80;	0,799999999999999;	1268,7;	325;	83;	
10000;	0,080;	4;	80;	0,699999999999999;	1268,7;	325;	85;	
10000;	0,080;	4;	80;	0,599999999999999;	1268,7;	325;	87;	
10000;	0,080;	4;	80;	0,499999999999999;	1268,7;	325;	88;	
10000;	0,080;	4;	80;	0,399999999999999;	1268,7;	325;	90;	
10000;	0,080;	4;	80;	0,299999999999999;	1268,7;	325;	91;	
10000;	0,080;	4;	80;	0,199999999999999;	1268,7;	325;	93;	
10000;	0,070;	4;	80;	2;	1350,2;	315;	87;	
10000;	0,070;	4;	80;	1,9;	1380,6;	316;	86;	
10000;	0,070;	4;	80;	1,8;	1409,8;	317;	86;	
10000;	0,070;	4;	80;	1,7;	1440,9;	318;	85;	
10000;	0,070;	4;	80;	1,6;	1471,1;	319;	85;	
10000;	0,070;	4;	80;	1,5;	1502,2;	321;	84;	
10000;	0,070;	4;	80;	1,4;	1535,5;	322;	84;	
10000;	0,070;	4;	80;	1,3;	1565,5;	323;	83;	
10000;	0,070;	4;	80;	1,2;	1596,2;	324;	83;	
10000;	0,070;	4;	80;	1,1;	1627,2;	325;	83;	
10000;	0,070;	4;	80;	0,999999999999999;	1627,2;	325;	84;	
10000;	0,070;	4;	80;	0,899999999999999;	1627,2;	325;	85;	
10000;	0,070;	4;	80;	0,799999999999999;	1627,2;	325;	86;	
10000;	0,070;	4;	80;	0,699999999999999;	1627,2;	325;	87;	
10000;	0,070;	4;	80;	0,599999999999999;	1627,2;	325;	88;	
